Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Badmashiyaan,2015,128,"Comedy, Romance",4.6,133.0,Amit Khanna,Sidhant Gupta,Suzanna Mukherjee,Gunjan Malhotra
Badmashon Ka Raja,1997,128,Action,5.839567609057182,5.839567609057182,Velu Prabakar,Roja,Disco Shanti,Silk Smitha
Badnaam,1975,128,"Action, Crime, Drama",5.839567609057182,5.839567609057182,Dilip Bose,Baldev Khosa,Reeta Anchan,Nazima
Badnaam Gali,2019,95,Comedy,7.1,805.0,Ashwin Shetty,Patralekhaa Paul,Divyendu Sharma,Dolly Ahluwalia
Badnam Basti,1971,100,Drama,6.6,10.0,Prem Kapoor,Nitin Sethi,Nandita Thakur,Nandlal Sharma
Badrinath Yatra,1967,140,"Crime, Drama",5.839567609057182,5.839567609057182,Dhirubhai Desai,Nirupa Roy,Abhi Bhattacharya,Indira
Baga Beach,2013,103,Drama,5.9,14.0,Laxmikant Shetgaonkar,Paoli Dam,Jean Denis Römer,Cedric Cirotteau
Baghban,1938,159,Drama,7.2,8.0,Abdul Rashid Kardar,Bimla Kumari,B. Nandrekar,Sitara Devi
Baghdad Ka Chor,1955,128,"Adventure, Drama",5.839567609057182,5.839567609057182,Sreeram,Chitra,Daljeet,Krishna Kumari
Baghdad Ka Jadu,1956,128,"Action, Adventure, Fantasy",4.7,9.0,John Cawas,Fearless Nadia,John Cawas,Krishna Kumari
Baghi,1953,128,"Action, Drama",5.839567609057182,5.839567609057182,Anant Thakur,Ranjan,Naseem Banu,Pran
Baghi Shehzada,1963,128,"Fantasy, Musical",5.839567609057182,5.839567609057182,Kishore Kumar,Kumkum,Anwar Hussain,Indira
Bagpat Ka Dulha,2019,137,Drama,5.5,6.0,Karan Kashyap,Raza Murad,Puneet Vashisht,Lalit Parimoo
Bahaana,1960,128,Drama,5.839567609057182,5.839567609057182,M. Kumar,Mehmood,Meena Kumari,Krishna Kumari
Bahaar Aane Tak,1990,145,Family,4.7,63.0,Tariq Shah,Roopa Ganguly,Ram Mohan,Navin Nischol
Baharon Phool Barsao,1972,128,Romance,5.839567609057182,5.839567609057182,Umesh Mathur,Indira Bansal,Dheeraj Kumar,Sulochana Latkar
Bahattar Hoorain,2019,120,Comedy,8.8,23.0,Sanjay Puran Singh Chauhan,Narottam Bain,Aamir Bashir,Pawan Malhotra
Bahen,1941,156,Drama,6.0,10.0,Mehboob Khan,Sheikh Mukhtar,Nalini Jaywant,Harish
Bahke Kadam,1999,128,Drama,5.839567609057182,5.839567609057182,K. Shivram,Robin Ghai,Shakti Kapoor,Pramod Moutho
Bahu,1955,128,"Drama, Family",6.9,10.0,Shakti Samanta,Chaman Lal Pahwa,Karan Dewan,Usha Kiran
Bahu Ho To Aisi,1982,128,Drama,5.839567609057182,5.839567609057182,Kantilal Dave,Rajeev Anand,Dulari,Dinesh Hingoo
Baikunth,2021,72,Family,9.3,29.0,Vishwa Bhanu,Vishwa Bhanu,Sangam Shukla,Vijay Thakur
Bairy Suratiya,2020,128,"Drama, Horror, Thriller",5.839567609057182,5.839567609057182,Sunil Kumar Suman,Kuldeep Kumar,Khushboo Sawan,Krishna Bhatt
Bajra Vs Burger,2018,124,Comedy,5.839567609057182,5.839567609057182,Raj Singh Verma,Sandeep Aurora,Michelle D'Alessandro Hatt,Satyananad Gaitonde
Bajrang Aur Ali,1987,128,Drama,5.839567609057182,5.839567609057182,Jaiveer,Sachin Parikh,Gauri Shankar,Riddhi Gupta
Bal Bramhachari,1996,163,"Action, Drama",2.7,113.0,Prakash Mehra,Bindu Shukla,Puru Rajkumar,Karisma Kapoor
Bal Ganesh 3,2015,68,Animation,4.2,13.0,Vijay S. Bhanushali,Vidit Kumar,Parminder Ghumman,Sanjeev Tiwari
Bal Shivaji,1982,128,Drama,5.9,8.0,Prabhakar Pendhkar,Madhu Apte,Anand Joshi,Janhavi Khandekar
Balaji Mahima,2005,128,Drama,5.839567609057182,5.839567609057182,Anil Baindur,Pramila Jysai,Anant Nag,Pandharibai
Balak Ambedkar,1991,112,Drama,5.839567609057182,5.839567609057182,Basavaraj Kestur,Master Amit,Theertha Prasad,Jaganatha Rao
Balakka,2012,93,"Comedy, Drama, Romance",5.839567609057182,5.839567609057182,Shrivas Nydu,Bobby Vatsa,Khusboo Gupta,Nideep Trivedi
Balgobin Bhagat,1996,128,Action,5.839567609057182,5.839567609057182,Braj Bhushan,Brij Bhushan,Nivedita Joshi,Sanjay Kumar
Bali Umar,2000,128,Thriller,5.839567609057182,5.839567609057182,Bhaskar,Sajni Hanspal,Heera,Reshma
Ballad of Rustom,2012,117,Drama,8.1,24.0,Ajita Suchitra Veera,Ashwath Bhatt,Samiksha Bhatt,Tejaswi Bm
Ballavpur Ki Roopkatha,2017,120,Comedy,7.5,17.0,Akhilesh Jaiswal,Anil Charanjeett,Abha Parmar,Ankita Shrivastav
Bambai Ki Billi,1936,170,"Crime, Drama",5.839567609057182,5.839567609057182,Nandlal Jaswantlal,Ruby Mayer,Dinshaw Bilimoria,Jillo
Bambai Ki Sair,1941,128,Comedy,5.839567609057182,5.839567609057182,Sarvottam Badami,Shobhna Samarth,Sabita Devi,Eddie Billimoria
Bambai Ki Sethani,1935,128,Action,5.839567609057182,5.839567609057182,Rasik Bhatt,Panna Rani,Rajkumari,Jayant
Bambai Raat Ki Bahon Mein,1968,136,"Crime, Drama, Romance",6.0,13.0,Khwaja Ahmad Abbas,Surekha,Madhavi,David Abraham
Bamfaad,2020,102,Romance,7.2,1533.0,Ranjan Chandel,Aditya Rawal,Shalini Pandey,Vijay Varma
Ban Ki Chidiya,1938,128,Action,5.839567609057182,5.839567609057182,Jayant Desai,Madhuri,Eddie Billimoria,Ishwarlal
Banaras,2006,122,"Musical, Drama",6.1,315.0,Pankaj Parashar,Urmila Matondkar,Ashmit Patel,Dimple Kapadia
Band Master,1963,128,Drama,5.839567609057182,5.839567609057182,Ravindra Dave,Azra,Rajan Haksar,Jagdeep
Banda Nawaz,1988,128,Drama,5.839567609057182,5.839567609057182,Satish Kaul,Ritu Khanna,Rakesh Pandey,J.V. Samarajulu
Bandagi,1972,128,Musical,5.839567609057182,5.839567609057182,K. Shankar,Gemini Balu,Indira Bansal,Birbal
Bandh Honth,1984,128,Drama,5.839567609057182,5.839567609057182,Raj Marbros,Utpal Dutt,Shashi Kapoor,Anita Advani
Bandh Kamre Hain,2000,128,Thriller,5.839567609057182,5.839567609057182,Somesh Agarwal,Adi Irani,Gufi Paintal,Jyoti Rana
Bandhan Baahon Ka,1988,128,"Drama, Romance",5.839567609057182,5.839567609057182,Govind Moonis,Brahmachari,Rita Katyal,Raj Kiran
Bandhan Pheron Ke,1985,128,Drama,5.839567609057182,5.839567609057182,Jyoti Chandekar,Veena Kapoor,Adil Rana,Sanjeeva
Bandhu,1992,126,Family,7.9,7.0,Ugyen Chhopel,Abhishek,Danny Denzongpa,Gitanjali
Bandit Queen,1994,119,"Biography, Crime, Drama",7.6,4518.0,Shekhar Kapur,Seema Biswas,Nirmal Pandey,Rajesh Vivek
Bandit Queen-2,2013,128,Action,5.839567609057182,5.839567609057182,Ravi Basera,Nagesh Bhonsle,Ehsan Khan,Kanishka Soni
Bandook,2013,132,"Crime, Thriller",5.9,140.0,Aditya Om,Manisha Kelkar,Arshad Khan,Ashish Kotwal
Bangistan,2015,135,"Comedy, Drama",4.5,1168.0,Karan Anshuman,Jacqueline Fernandez,Michalina Olszanska,Riteish Deshmukh
Banjaara,2019,128,Romance,5.839567609057182,5.839567609057182,Sudeshna Banerjee,Bhaskar Banerjee,Srijla Guha,Indra
Banjarin,1960,129,"Fantasy, Musical",5.839567609057182,5.839567609057182,Jaswant Jhaveri,Kanchan Kamini,Manher Desai,Lalita Kumari
Bank Robbery,1992,128,Thriller,5.839567609057182,5.839567609057182,Ravi Ravan Kathuria,Akshay Anand,Mohnish Bahl,Ashwini Bhave
Banke Sanwaria,1962,128,Drama,5.839567609057182,5.839567609057182,Dhanpat Rai,Paidi Jairaj,Jeevan Kala,Rajan Kapoor
Bankster,1987,90,"Action, Drama",5.839567609057182,5.839567609057182,Azaan Khan,Faizan Khawaja,Naseeruddin Shah,Avi Abhichandani
Bansuri: The Flute,2021,108,Drama,3.7,7.0,Hari Viswanath,Anurag Kashyap,Rituparna Sengupta,Upendra Limaye
Barah by Barah,2021,118,Drama,5.839567609057182,5.839567609057182,Gaurav Madan,Aashit Chatterjee,Bhumika Dube,Geetika Vidya Ohlyan
Barati,1954,135,Comedy,5.839567609057182,5.839567609057182,J.K. Nanda,Shyam Kumar,Chand Usmani,Johnny Walker
Barbed Wired,2005,119,"Drama, Romance",5.6,36.0,Bappaditya Bandopadhyay,Sreelekha Mitra,Sudip Mukherjee,Rudranil Ghosh
Bare Bhaiyya,1951,128,Musical,5.839567609057182,5.839567609057182,Aspi Irani,Lala Yaqoob,Agha,Nirupa Roy
Barefoot to Goa,2015,80,"Adventure, Drama, Family",5.6,149.0,Praveen Morchhale,Sonu Chourasia,Ajay Chourey,Farrukh Jaffar
Bargad Dada,1987,128,Drama,5.839567609057182,5.839567609057182,Nishi Bahl,Biswajit,Mihir Das,Kalyani
Bari Behen,1949,128,"Drama, Family",6.1,18.0,D.D. Kashyap,Suraiya,Rehman,Ulhas
Barkha,1959,169,Romance,4.9,9.0,R. Krishnan,S. Panju,Jagdeep,Nanda
Barkha Sarkar,1987,97,Family,5.839567609057182,5.839567609057182,Abhishek Mamgain,Aarnaa Sharma,Deepak Qazir,Amit Bimrot
Barkhaa,2015,127,"Drama, Romance",5.1,315.0,Shadaab Mirza,Sara Loren,Priyanshu Chatterjee,Muntazir Ahmad
Baromas,2013,123,Drama,5.839567609057182,5.839567609057182,Dhiraj Meshram,Gajanand Bind,Seema Biswas,Alok Chaturvedi
Barood,1960,128,"Drama, Family",5.839567609057182,5.839567609057182,Aspi Irani,Uma Dutt,Honey Irani,Kumkum
Bas Yun Hi,2003,128,"Comedy, Musical, Romance",5.6,54.0,Raja Menon,Purab Kohli,Nandita Das,Rajiv Gopalakrishnan
Basant,1942,146,"Drama, Musical",6.8,21.0,Amiya Chakrabarty,Mumtaz Shanti,Ulhas,Mumtaz Ali
Basanti,2000,129,"Action, Crime, Drama",5.839567609057182,5.839567609057182,Bashir Babar,Durgesh Nandini,Shakti Kapoor,Kiran Kumar
Basanti Ki Shaadi Honeymoon Gabbar Ka,2002,128,Action,5.839567609057182,5.839567609057182,Harinam Singh,Parita,Yasmeen Khan,Harinam Singh
Based On a True Story,1987,128,Drama,5.839567609057182,5.839567609057182,Jacob Paul,Vinod Kumar,Atique Mujawar,Amit Pandiya
Basti,2003,128,"Action, Crime, Drama",7.0,27.0,Sadashiv Amrapurkar,Liyaqat Bari,Brij Gopal,Rajendra Gupta
Basti Aur Bazaar,1973,129,Drama,5.839567609057182,5.839567609057182,Rajdeep,Farida Alam,Sheetal Kumar,Mohammed Shafi
Bawandar,2000,125,Drama,7.0,288.0,Jag Mundhra,Nandita Das,Raghuvir Yadav,Deepti Naval
Bawri Chhori,2021,128,Drama,5.2,79.0,Akhilesh Jaiswal,Sagar Arya,Amerjit Deu,Apurva Gondalia
Bazaar E Husn,2014,125,Drama,4.8,15.0,Ajay Mehra,Ahmed Faisal Inam,Om Puri,Jeet Goswami
"Bazaar: Market of Love, Lust and Desire",2004,128,Drama,5.9,15.0,Rajesh Bhatt,Amit Hingorani,Vrajesh Hirjee,Shakti Kapoor
Be Aabroo,1983,128,Action,4.9,7.0,Shiv Kumar,Bandini Mishra,Raj Shekhar,Apeksha
Be Lagaam,1988,128,"Action, Drama",5.839567609057182,5.839567609057182,Naval Kishore,Biswajit Chatterjee,Rakesh Roshan,Jayshree T.
Be Parda,2005,128,Thriller,5.839567609057182,5.839567609057182,Simran,Mahesh,Raja,Rasi
Beauty Queen,1989,128,Drama,5.839567609057182,5.839567609057182,Manmohan Sabir,Akashdeep,Abhi Bhattacharya,Sahila Chaddha
Bechain,1993,135,"Action, Drama, Romance",4.8,8.0,Kawal Sharma,Sidhant Salaria,Malvika Tiwari,Raza Murad
Bed Room,2007,81,Romance,5.839567609057182,5.839567609057182,Kanti Shah,Anil Nagrath,Amit Pachori,Sapna Sappu
Bedhab,2019,128,Mystery,5.8,37.0,Akash Goila,Sanjay Kapoor,Karishma Kotak,Aashish Sachdeva
Bedroom Story,1988,128,Drama,5.839567609057182,5.839567609057182,D. Raman,Roma Sen Gupta,Shavinder Mahal,Sanjay Shukla
Beehad - The Ravine,2013,125,Drama,5.6,10.0,Krishna Mishra,Pawan Rajput,Satyajeet Rajput,Vikas Shrivastav
Bees Saal Pehle,1972,128,Horror,5.3,10.0,Probir Roy,Jayanta Mukherjee,Anupama,Farida Jalal
Befikar Besahare,2017,93,Drama,5.839567609057182,5.839567609057182,Rutwij Vaidya,Mukesh Ahuja,Pratibha Amrutey,Raju Bhati
Before Crisis,1987,111,"Crime, Drama, Music",5.839567609057182,5.839567609057182,Mihir Kumar Sharma,Goutam Ghose,Deeksha Panth,Chittaranjan Tripathy
Before You Go-Love,2020,52,"Drama, Romance",5.839567609057182,5.839567609057182,Tarun Rastogi,Shashank Shekhar Singh,Neeta Iyer,Vibhu Kaushik
Behen Hogi Teri,2017,128,Comedy,5.6,1873.0,Ajay Pannalal,Arvind Singh Rajpoot,Rajkummar Rao,Shruti Haasan
Behind the Mirror,2005,88,Drama,5.9,14.0,Rajkumar Bhan,Sulabha Deshpande,Omkar Lele,Nandu Madhav
Behram Daku,1959,128,Action,5.839567609057182,5.839567609057182,Chitra,Manher Desai,Habib,Shyam Kumar
Behroopia,1971,128,Fantasy,4.0,5.0,Rajesh Nanda,Dheeraj Kumar,Snehlata,Mehmood Jr.
Beiimaan Love,2016,120,"Drama, Romance, Thriller",2.8,439.0,Rajeev Chaudhari,Sunny Leone,Rajniesh Duggall,Daniel Weber
Belagaam,2019,128,Crime,5.839567609057182,5.839567609057182,D.P. Singh,Aly Abbas,Manoj Bakshi,Payal Kuwar
Be-Lagaam,2002,128,"Crime, Thriller",2.9,16.0,Ram Lakhan,Pramod Moutho,Tanveer Zaidi,Rajeev Verma
Bellbottom,2021,130,"Action, Thriller",5.839567609057182,5.839567609057182,Ranjit Tewari,Huma Qureshi,Akshay Kumar,Vaani Kapoor
Benaam Rishte,1992,128,Drama,5.839567609057182,5.839567609057182,Shyam Gupta,Mohan Bhandari,Anil Dhawan,Madan Jain
Bengal Tiger,2001,121,"Action, Crime",5.3,29.0,Adarsh Jain,Sandeep Bedi,Mithun Chakraborty,Roshini Jaffery
Bengaloored,2010,128,"Drama, Romance",7.7,30.0,Swaroop Kanchi,Harish Raj,Meghana Mudiyam,Srinivasa Prabhu
Besahara,1987,128,Drama,5.839567609057182,5.839567609057182,B.R. Ishara,Rajan Sippy,Vidyashree,Priya Tendulkar
Best Partner,2005,128,Thriller,5.839567609057182,5.839567609057182,Suresh Jain,Tanveer,Karishma,Reena Kapoor
Beta Ho To Aisa,1994,128,Drama,3.8,45.0,C.P. Dixit,Ravi Anand,Vikas Anand,Anuradha
Betaabi,1997,188,"Drama, Romance",4.4,104.0,Rajesh Ram Singh,Chandrachur Singh,Arshad Warsi,Anjala Zaveri
Bewafa Biwi,1999,128,Thriller,5.839567609057182,5.839567609057182,Ganesh Babu,Jawahar,Meenu,Vichithra
Bewafa Qatil,1998,128,"Drama, Thriller",5.839567609057182,5.839567609057182,Rajan Thomas,Rohit Bhatia,Ruhi Sawant,Manish Wadhwa
Bewaffa Se Waffa,1992,172,Romance,4.9,75.0,Saawan Kumar Tak,Vivek Mushran,Juhi Chawla,Nagma
Bewajah,2017,127,Thriller,6.3,30.0,Jagat Joon,Anshu,Vishvendra Singh,Dhirendra Gupta
Beyond Blue: An Unnerving Tale of a Demented Mind,2015,99,"Crime, Fantasy, Mystery",6.7,7.0,Zanane Rajsingh,Tushar Pandey,Isheta Sarckar,Dipti Joshi
Beyond Bollywood,2013,64,"Documentary, Biography, Drama",6.1,58.0,Adam Dow,Ruchika Muchhala,Pooja Kasekar,Harry Key
Beyond the 3rd kind,2015,128,Drama,5.839567609057182,5.839567609057182,Shiraz Henry,Gulshan Pandey,Rahim,Natasha Sikka
Beyond the Clouds,2017,120,"Drama, Family",7.0,2148.0,Majid Majidi,Ishaan Khattar,Malavika Mohanan,Goutam Ghose
Bezubaan,1982,137,"Drama, Romance",7.3,70.0,Bapu,Shubham Kumar Singh,Shashi Kapoor,Reena Roy
Bezubaan Ishq,2015,128,"Musical, Romance",4.0,68.0,Jaswant Gangani,Mugdha Godse,Sneha Ullal,Nishant Malkani
Bhaag Johnny,2015,118,"Action, Fantasy, Thriller",5.2,963.0,Shivam Nair,Kunal Khemu,Zoa Morani,Mandana Karimi
Bhaag Milkha Bhaag,2013,186,"Biography, Drama, Sport",8.2,62636.0,Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra
Bhaagte Raho,2018,115,Comedy,3.6,18.0,Praful D.S. Tiwari,Riya Deepsi,Mukesh Fotwani,Dinesh Hingoo
Bhaai Ki Shaadi,1987,128,Comedy,5.839567609057182,5.839567609057182,Yudhishthir Singh,Bhavesh Kumar,Sonia Birje,Vindu Dara Singh
Bhaangarh,2014,128,Horror,6.7,32.0,Dilip Sood,Adeel Chaudhry,Suzzana Mukherjee,Debonita Sur
Bhaavna,1972,128,Drama,5.839567609057182,5.839567609057182,Karunesh Thakur,Dev Dutt,Padma Khanna,Dev Kumar
Bhabhipedia,2018,107,"Comedy, Romance",8.3,84.0,Saumyy Shivhare,Jay Solanki,Hrishitaa Bhatt,Rajkumar Kanojia
Bhabi,1938,128,"Drama, Family",6.3,9.0,Franz Osten,Renuka Devi,Paidi Jairaj,Meera
Bhadaas,2013,89,Thriller,2.5,26.0,Ajay Yadav,Meera,Aryeman Ramsay,Ashutosh Kaushik
Bhagat Singh,2002,128,Drama,3.2,6.0,Anand Sagar,Deepak Dutta,Kumar Hegde,Mukul Nag
Bhagaude,2012,94,"Comedy, Drama",5.839567609057182,5.839567609057182,Prasad Bhardwaja,Swapnil Kumawat,Ravi Sah,Vinay Sharma
Bhagwan Parshuram,1970,136,Drama,8.7,10.0,Babubhai Mistry,Niranjan Sharma,Shalini,Trilok Kapoor
Bhagwan Shri Krishna,1985,138,"Action, Adventure, Fantasy",6.0,10.0,Ramkumar Bohra,Ajit Bhalla,Kumud Bole,Manher Desai
Bhagwan... tera Bhala ho!,2012,108,"Comedy, Drama",5.839567609057182,5.839567609057182,Mohan Azaad,Vijay Singh Parmar,Urvashi Yadav,Madhav Banati
Bhai Aakhir Bhai Hota Hai,1982,128,Drama,5.839567609057182,5.839567609057182,R.C. Nanda,Vikram Makandar,Kumari Naaz,Monty Nath
Bhai Ka Dushman Bhai,1986,128,Drama,5.839567609057182,5.839567609057182,Sudesh Issar,Puneet Issar,Rameshwari,Sujit Kumar
Bhai No 1,2000,130,Action,5.839567609057182,5.839567609057182,Deepak Anand,Bunty Anand,Arun Bakshi,Puneet Issar
Bhai Thakur,2000,118,"Action, Drama",3.2,9.0,William Hunt,Raja,Willy,Dharmendra
Bhai-Bahen,1959,136,"Drama, Family",6.0,5.0,G.P. Sippy,Daisy Irani,Rajan Kapoor,Kathana
Bhaijan,2021,128,Action,5.839567609057182,5.839567609057182,Sajid Khan,Ajaz Khan,Mamta Soni,Jin Joshi
Bhairavi,1996,145,"Drama, Musical, Romance",5.3,35.0,Aruna Raje,Ashwini Bhave,Sridhar,Manohar Singh
Bhaiyya,1961,128,"Drama, Family",7.4,7.0,Phani Majumdar,Tarun Bose,Vijaya Choudhury,Gopal
Bhakt Pralhad,1959,128,"Animation, History",5.839567609057182,5.839567609057182,Raja Yagnik,Kamal Kapoor,Maruti,Achala Sachdev
Bhakta Prahlad,1932,128,Drama,5.5,6.0,Kanjibhai Rathod,Neelam,Hydershah,Kumar Mukund
Bhakta Siriyala,1980,154,"Biography, Drama, Musical",7.1,19.0,Hunsur Krishnamurthy,Arathi,K.S. Ashwath,Sharapanjara Iyengar
Bhamashah,2017,83,Drama,6.2,11.0,Vikram Nath Gupta,Dharmendra Gohil,Daya Shankar Pandey,Manoj Shah
Bhangarh: The Last Episode,2017,84,Horror,5.5,15.0,Anil Bajpai,Prashant Barot,Deepanshu Malik,Rumana Molla
Bhangover,2017,115,Comedy,5.1,34.0,Mahender Singh,Prerika Arora,Aradhya Taing,Anmol Khatri
Bhangra Paa Le,2020,131,"Comedy, Drama, Music",6.0,287.0,Sneha Taurani,Sunny Kaushal,Rukshar Dhillon,Shriya Pilgaonkar
Bhanwar Jindagi,2021,128,Drama,5.839567609057182,5.839567609057182,Swaroop Sawant,Ganesh Yadav,Kamlesh Sawant,Shreya Pasalkar
Bhanwarey,2017,120,Comedy,6.8,58.0,Shaurya Singh,Shaurya Singh,Karhan Dev,Jashan Singh Kohli
Bharat Ka Lal,1936,128,"Action, Drama",5.839567609057182,5.839567609057182,S.M. Yusuf,Chandrarao,Miss Feroze,Master Bhagwan
Bharat Ke Lal,1994,128,Drama,5.839567609057182,5.839567609057182,Mohan Choti,Sujit Kumar,Vikram Makandar,Ram Mohan
Bharat Ke Shaheed,1972,128,"Drama, History",5.839567609057182,5.839567609057182,Vishram Bedekar,Ram Avtar,Ramesh Deo,Seema Deo
Bharat Ki Beti,1935,128,Drama,5.839567609057182,5.839567609057182,Premankur Atorthy,Rattan Bai,Gul Hamid,D. Sarkari
Bhasadbaaz,2021,60,"Comedy, Drama",5.839567609057182,5.839567609057182,Abhishek Prasad,Sheeba Chaddha,Vineet Kumar,Anil Charanjeett
Bhasmasur,2017,74,Drama,6.8,132.0,Nishil Sheth,Imran Rasheed,Mittal Chouhan,Trimala Adhikari
Bhatakte Kadam,1984,128,Romance,5.839567609057182,5.839567609057182,Inderjeet Dori,Madhu Kapoor,Mehmood Jr.,Satyajeet
Bhavesh Joshi Superhero,2018,154,"Action, Crime, Drama",7.6,7479.0,Vikramaditya Motwane,Harshvardhan Kapoor,Priyanshu Painyuli,Ashish Verma
Bhavnao Ko Samjho,2010,114,"Action, Comedy, Drama",4.3,76.0,Sunil Pal,Madhu Acharya,Nitin Anand,Dinesh Bawara
Bhawani Mandi Tesan,2018,128,Comedy,6.4,5.0,Sayed Faizan Hussain,Luv Sinha,Prashant Narayanan,Jaideep Ahlawat
Bhayaanak Mahal,1988,113,Horror,3.4,8.0,Baby,Babu Antony,Ravi,Jaya Rekha
Bhayam,2019,128,"Horror, Thriller",5.839567609057182,5.839567609057182,Veer Narayan,Bina Bhatt,Gaurav Chansoria,Angad Dev Dogra
Bhayanak Maut,2000,128,Horror,6.5,8.0,Bhooshan,Sapna Sappu,Jai Thakur,Amit Pachori
Bhedi Dushman,1946,128,Action,5.839567609057182,5.839567609057182,Ranjibhai Arya,Master Kishore,Mehrunissa,Dalpat
Bhedi Lutera,1955,128,Action,5.839567609057182,5.839567609057182,Aruna,Kathana,Baburao Pahelwan,Heera Sawant
Bhediya,2022,128,"Comedy, Horror",5.839567609057182,5.839567609057182,Amar Kaushik,Kriti Sanon,Varun Dhawan,Abhishek Banerjee
Bhediyon Ka Samooh: A Pack of Wolves,1991,128,"Action, Crime, Drama",5.839567609057182,5.839567609057182,M.K. Shankar,P.L. Ahuja,Praful Ambekar,Brahmachari
Bheema Mera Haathi,1973,128,Drama,4.4,8.0,Gemini Ganesan,Cho Ramaswamy,Sridevi,Vijayalalitha
Bheja Fry,2007,95,"Comedy, Drama",7.6,11444.0,Sagar Ballary,Vinay Pathak,Rajat Kapoor,Sarika
Bhid Ja,2015,101,Sport,5.839567609057182,5.839567609057182,Gautam Narwat,Baljinder Darapuri,Michael Chang,Gautam Narwat
Bhima cha Wagh,2015,145,Drama,5.839567609057182,5.839567609057182,Dhamma Surya,Mangiri Buldekar,Vijaya Buldekar,Anup Chail
BHK Bhalla@Halla.Kom,2016,122,Comedy,5.9,74.0,Rakesh Chaturvedi Om,Ujjwal Rana,Inshika Bedi,Manoj Pahwa
Bhobhar - The Live Ash,2012,100,"Drama, Family, Romance",4.9,9.0,Gajendra Shanker Shrotriya,Vinod Acharya,Vasudev Bhatt,Vishal Bhatt
Bhole Bhale,1936,128,Comedy,5.839567609057182,5.839567609057182,Zia Sarhadi,Maya Banerjee,Bibbo,Prem Adib
Bhomli,1991,128,Drama,5.839567609057182,5.839567609057182,Jagdeep,Guddi Maruti,Mac Mohan,Ramesh Tiwari
Bhooka Sher,1984,165,Action,4.8,12.0,I.V. Sasi,Aachi Manorama,Rajinikanth,Seema
Bhookamp,1993,128,"Action, Drama, Thriller",5.0,23.0,Gautam Adhikari,Firoz Ali,Harbans Darshan M. Arora,Deven Bhojani
Bhookh: The Hunger of Body,2005,128,Drama,5.839567609057182,5.839567609057182,Kishan Shah,Imran,Harshada,Akansha
Bhool,1984,128,Drama,6.2,5.0,Tej Saran,Amrish Puri,Tamanna,Tariq
Bhool Bhulaiyan,1933,128,Comedy,6.0,6.0,Jayant Desai,Ghori,Dixit,Kamlabai Gokhale
Bhoola Bhatka,1976,128,"Action, Crime, Drama",5.839567609057182,5.839567609057182,Ashwani Kumar,Kiran Kumar,Usha Solanki,Akashdeep
Bhoomige Banda Bhagavantha,1981,128,"Action, Drama, Fantasy",5.839567609057182,5.839567609057182,K.S.L. Swamy,Lokesh,Lakshmi,Jai Jagdeesh
Bhoot and Friends,2010,133,"Animation, Action, Adventure",5.8,96.0,Karanjeet Saluja,Nishikant Dixit,Ashish Kattar,Faiz Khan
Bhoot police,2021,128,Comedy,5.839567609057182,5.839567609057182,Pavan Kripalani,Yami Gautam,Saif Ali Khan,Jacqueline Fernandez
Bhoot Raaj,2000,128,Horror,3.2,8.0,Poonam Dasgupta,Prithvi,Satnam Kaur,Shakti Kapoor
Bhoot Returns,2012,85,"Horror, Mystery, Thriller",2.5,513.0,Ram Gopal Varma,J.D. Chakravarthi,Madhu Shalini,Alayana Sharma
Bhoot: Part One - The Haunted Ship,2020,114,"Horror, Mystery, Thriller",5.4,4236.0,Bhanu Pratap Singh,Vicky Kaushal,Ashutosh Rana,Meher Vij
Bhooton Ka Honeymoon,2001,128,Horror,5.839567609057182,5.839567609057182,Shaheen Khan,Mac Mohan,Pramod Moutho,Raza Murad
Bhootwali Love Story,2018,109,Comedy,5.839567609057182,5.839567609057182,Shantanu Anant Tambe,Tushar Acharya,Kanchan Awasthi,Laxman Dawbhat
Bhopal: A Prayer for Rain,2014,96,Drama,7.2,1968.0,Ravi Kumar,Martin Sheen,Mischa Barton,Kal Penn
Bhopali,2011,89,"Documentary, History, News",8.0,58.0,Van Maximilian Carlson,Saiba Babu,Salam Babu,Rashida Bee
Bhor: Dawn,2018,93,Drama,7.8,147.0,Kamakhya Narayan Singh,Devesh Ranjan,Saveree Gaur,Nalneesh Neel
Bhouri,2016,140,Drama,6.7,403.0,Jasbir Bijender Bhati,Raghuvir Yadav,Masha Pour,Kunickaa Sadanand
Bhu Mafia,2018,128,Drama,5.839567609057182,5.839567609057182,Sanjay Srivastav,Ramesh Yadav,Devdutt Budholiya,Mohini Gupta
Bhuj: The Pride of India,2021,128,"Action, Drama, History",5.839567609057182,5.839567609057182,Abhishek Dudhaiya,Sharad Kelkar,Ajay Devgn,Parineeti Chopra
Bhula Na Dena,1981,128,"Drama, Family",5.839567609057182,5.839567609057182,Harsh Kohli,Kaajal Kiran,Helen,Sujit Kumar
Bhule Bhatke,1952,128,"Comedy, Fantasy",5.839567609057182,5.839567609057182,Brij,Brijmohan,Master Bhagwan,Baburao Pahelwan
Bhumi,2016,120,Drama,5.839567609057182,5.839567609057182,Mohd Feroz Qureshi,Adeeth Bhandarre,Mantosh Kumar,Esha Pathak
